Sentences,Virtual,Video,Escorted,Self-Guided
"Hi Kenneth. On March 11th I'm out of the Country, so I can't visit the rental unit. Thank you.",1,1,0,0
"Sounds good Makayla. I would like to see the place, what about Today at 9:20 a.m.? Thank you, Rodney.",1,1,1,1
"To whom it may concern, My father wants to actually see the unit, perhaps Today at 2:40 p.m.? See you soon, Allison.",0,0,1,1
"Alright Michelle. I wish an online tour, what about On December 6th? I hope to hear back soon.",1,1,0,0
"Hello. I would like to see it on my own, perhaps Tomorrow? Thanks, Eric.",1,1,0,1
Sounds good. I need to have a look at the apartment  Tomorrow at 10:10 a.m.. Thanks in advance.,1,1,1,1
"To whom it may concern, Today I desire to see it, but can't come in person. Thank you, Chad.",1,1,0,0
"Great Robert. Tomorrow I don't want a leasing agent for my tour. Goodbye, Michael.",0,1,0,1
"Cool Cynthia. I desire to have a look at the building, possibly Today at 1:00 p.m.? Thank you, Ashley.",1,1,1,1
"Cool Michael. My sister wants to have a virtual tour, perhaps On January 19th? Goodbye.",1,0,0,0
"Hi Richard. I want a tour without a leasing agent, possibly On October 10th? Goodbye, Nicholas.",0,0,0,1
"Cool David. I need a video tour, perhaps On November 17th? Thanks, Michael.",1,1,0,0
Hello Linda. I need to see the building on video  Tomorrow at 5:00 p.m.. Let me know.,1,1,0,0
"To whom it may concern, I need to see it on my own, maybe Today at 3:30 p.m.? Thank you, Claire.",1,1,0,1
"Alright David. I desire to see it on my own, possibly Today at 4:30 p.m.? , Ashley.",1,1,0,1
"Cool Tammy. Can I get an appointment for tomorrow at 10:30 a.m.? I hope this works, Briana.",0,0,1,1
"Hey Kenneth. I would like to be accompanied on my tour, maybe On February 13th? Thanks in advance.",0,0,1,0
"Good afternoon Donna. Today at 1:40 p.m. I'm traveling, so I can't visit the unit. I hope to hear back soon, Michael.",1,1,0,0
"Wonderful. I would like to schedule a call, what about Today at 3:00 p.m.? I hope to hear back soon.",1,0,0,0
"Perfect. I want to see the place, maybe Today at 2:30 p.m.? Let me know.",1,1,1,1
" I wish a tour with a leasing agent, possibly On October 10th? Thanks in advance, Sean.",0,0,1,0
" I would like to see the place  Today at 2:40 p.m.. Thanks in advance, Jennifer.",1,1,1,1
"To whom it may concern, I wish to be accompanied on my tour, maybe Today at 5:30 p.m.? .",0,0,1,0
 Johnathan. Can my father see the unit tomorrow at 5:20 p.m.? Thanks.,0,0,1,1
Good morning Tiffany. I desire to see it in person  Today at 1:20 p.m.. .,0,0,1,1
"Perfect. I wish to be able to talk to a leasing agent on my tour  Today at 3:20 p.m.. I hope this works, Joshua.",0,0,1,0
"Good morning Shawn. I want an appointment, perhaps Today at 2:20 p.m.? , Kenneth.",0,0,1,1
"Wonderful Robin. My father wants to actually see the flat, what about On March 1st? I hope to hear back soon, Kenneth.",0,0,1,1
"Good afternoon Elizabeth. I wish a video tour, what about On May 18th? I hope this works, Dana.",1,1,0,0
" Donald. I want to be accompanied on my tour  Today. See you soon, William.",0,0,1,0
"Alright. My client wants to have a virtual tour, what about Tomorrow at 9:40 a.m.? Thanks.",1,0,0,0
"Wonderful Jesus. I wish an appointment  Tomorrow. Thank you, Alicia.",0,0,1,1
"Good morning Patrick. I need to be accompanied on my tour, perhaps On May 8th? , Pamela.",0,0,1,0
"Sounds good. I would like an online tour, what about Tomorrow at 8:00 a.m.? I hope this works, Robert.",1,1,0,0
"Hey. I want to see it, but can't come in person, maybe On November 22nd? I hope this works, Brandy.",1,1,0,0
"Great. I wish to see it in person, maybe Tomorrow at 10:40 a.m.? Thank you, Kristin.",0,0,1,1
"Hi. Could I see it from my computer on March 4th? Thanks in advance, Sarah.",1,1,0,0
"Hey Susan. Can my wife be on sight at 10:40 a.m.? , Patrick.",0,0,1,1
"Hey. My sister wants to have a virtual tour, perhaps Today at 10:10 a.m.? Thanks, Kathryn.",1,0,0,0
"Good evening Stephanie. I wish to be able to talk to a leasing agent on my tour, possibly Tomorrow at 3:10 p.m.? I hope this works.",0,0,1,0
"Cool Stephanie. I wish a video tour, perhaps On April 21st? Thank you.",1,1,0,0
" Pamela. I need to see the flat on my own, possibly On April 6th? Thank you.",0,1,0,1
" Deborah. Today I don't want a leasing agent for my tour. Goodbye, Christopher.",0,1,0,1
"Sounds good. I would like to see the place, possibly On December 13th? I hope to hear back soon, Timothy.",1,1,1,1
"Great Brian. I would like a video tour, possibly Today? , Matthew.",1,1,0,0
" Danielle. I desire to see the apartment on my own  Today. Thanks in advance, Monica.",0,1,0,1
"Hi Kristina. I want to see the unit on my own, what about On March 15th? See you soon.",0,1,0,1
"Good afternoon. Could I schedule a virtual tour for tomorrow? Goodbye, Diane.",1,1,0,0
"Good afternoon. My client wants to see the place in person, perhaps Tomorrow at 4:20 p.m.? I hope to hear back soon.",0,0,1,1
". Could I schedule a Zoom tour on December 2nd? Goodbye, Tanya.",1,0,0,0
"Good morning William. I would like to be accompanied on my tour, maybe Tomorrow at 8:40 a.m.? Thanks in advance.",0,0,1,0
"Wonderful. I desire an online tour, maybe Today at 3:30 p.m.? , Billy.",1,1,0,0
" I need an online tour, possibly Tomorrow at 9:00 a.m.? Thank you, Derrick.",1,1,0,0
"Good morning Christopher. I would like to schedule a call  On September 11th. , Jason.",1,0,0,0
"Hey Kristen. Could I see the flat in person tomorrow at 5:20 p.m.? Thanks in advance, Michael.",0,0,1,1
"Good evening Raymond. My mother wants to have a virtual tour, perhaps Tomorrow? See you soon, Michelle.",1,0,0,0
"Wonderful Samantha. I desire a virtual tour, perhaps On May 18th? See you soon, Michael.",1,1,0,0
"Alright. I desire a 3D tour, perhaps Tomorrow at 3:20 p.m.? I hope to hear back soon.",1,1,0,0
" I would like to see the rental unit in person  Today at 9:20 a.m.. I hope to hear back soon, Mckenzie.",0,0,1,1
. I need to schedule a call  On January 15th. Thanks in advance.,1,0,0,0
" John. I need a virtual tour, maybe Today? Thanks.",1,1,0,0
"Good morning Patricia. My husband wants to actually see the unit, perhaps Tomorrow at 1:40 p.m.? See you soon.",0,0,1,1
"Good morning Kathleen. My father wants to actually see the flat, maybe Tomorrow at 9:40 a.m.? See you soon, Sabrina.",0,0,1,1
"Sounds good Michael. I would like to see the rental unit on video, possibly Today at 8:30 a.m.? Thanks in advance.",1,1,0,0
. Could I be accompanied on my tour today at 8:00 a.m.? Thanks.,0,0,1,0
"Hello April. I need to be accompanied on my tour, what about On September 24th? Thanks in advance.",0,0,1,0
"Wonderful. Can my husband see the unit in person on January 4th? , Jill.",0,0,1,1
"Wonderful Kathy. I would like to see the building in person, possibly Tomorrow? I hope this works, George.",0,0,1,1
" Stephanie. I want a tour without a leasing agent, perhaps Today at 2:40 p.m.? Thanks, Rebecca.",0,0,0,1
"Perfect Justin. I need to see the place in person, maybe On April 6th? Thanks in advance, Michael.",0,0,1,1
"Sounds good Richard. Can I schedule a Zoom tour on June 12th? , Patricia.",1,0,0,0
"Cool Crystal. My mother wants to see the community in person, possibly Today? I hope this works, Julie.",0,0,1,1
"Great. I would like a video tour, maybe Tomorrow at 1:10 p.m.? I hope to hear back soon, Jonathan.",1,1,0,0
"Wonderful Christopher. On June 4th I don't want a leasing agent for my tour. Thanks in advance, Tristan.",0,1,0,1
"Perfect Julie. I desire a video tour, possibly Tomorrow at 2:20 p.m.? Thanks in advance, Teresa.",1,1,0,0
"Hello Heather. Could I get a 3D tour for tomorrow at 10:10a.m.? Goodbye, Melinda.",1,1,0,0
" My wife wants to be accompanied on the tour, perhaps Today at 5:20 p.m.? Thanks.",0,0,1,0
"Alright. On April 17th I don't want a leasing agent for my tour. Let me know, Teresa.",0,1,0,1
"Hi Judy. I desire a video tour, maybe Tomorrow at 9:20 a.m.? See you soon.",1,1,0,0
" My client wants to have a virtual tour, what about Today at 4:40 p.m.? Thanks in advance.",1,0,0,0
Perfect Nicholas. I wish a self guided tour  On January 30th. I hope to hear back soon.,0,0,0,1
"Hello Anthony. I wish a virtual tour  Tomorrow at 5:20 p.m.. , Patricia.",1,1,0,0
"Good afternoon. I wish a self guided tour, perhaps Tomorrow at 2:40 p.m.? .",0,0,0,1
Perfect. I would like someone with me on my tour  Today. Goodbye.,0,0,1,0
"To whom it may concern, I wish to see the unit in person  Tomorrow at 9:10 a.m.. I hope to hear back soon, Stephanie.",0,0,1,1
"Hello. My client wants to be on sight, perhaps Today at 2:10 p.m.? Thanks, Ricardo.",0,0,1,1
"Good afternoon Cathy. I need to see the unit on my own, perhaps On August 5th? Thanks, Katelyn.",0,1,0,1
"To whom it may concern, I would like to see the apartment on video  Tomorrow at 2:40 p.m.. Goodbye.",1,1,0,0
"To whom it may concern, I wish to see the apartment in person  Tomorrow at 4:00 p.m.. Thanks, Tracy.",0,0,1,1
"Good afternoon Nancy. I wish an online tour, possibly Today at 10:20 a.m.? Thanks in advance, Mary.",1,1,0,0
" Tomorrow at 10:20 a.m. I want to see it on my own. Thanks, Sara.",1,1,0,1
"Great Amanda. I would like to schedule a call, perhaps On December 5th? I hope this works, Brian.",1,0,0,0
"Good morning Andres. I need to have a look at the unit  Tomorrow at 1:40 p.m.. , Tyler.",1,1,1,1
"Great Jessica. I wish to be able to talk to a leasing agent on my tour, maybe Today at 3:30 p.m.? Thank you.",0,0,1,0
"To whom it may concern, I desire to see it, but can't come in person, perhaps On April 11th? I hope to hear back soon, Lorraine.",1,1,0,0
"To whom it may concern, Today at 2:30 p.m. I don't want a leasing agent for my tour. Thank you, Jennifer.",0,1,0,1
"Great William. I need an appointment, possibly Today? See you soon.",0,0,1,1
"Wonderful Anne. My husband wants to actually see the place, maybe Tomorrow at 4:00 p.m.? Thanks, Kelly.",0,0,1,1
"Great Sarah. I want to see the place, maybe On November 27th? Goodbye.",1,1,1,1
"Alright Marissa. I wish to see it from my computer, possibly On May 26th? Thank you, Diane.",1,1,0,0
". Could I see it in person on November 18th? I hope this works, Bridget.",0,0,1,1
"Alright. I wish a virtual tour, perhaps Today at 8:00 a.m.? , Isabella.",1,1,0,0
 I want to see the community on video  On July 27th. Thank you.,1,1,0,0
". I wish to see it on my own, perhaps On November 24th? Thank you.",1,1,0,1
"Sounds good. My mother wants to see the flat in person, maybe Today? Goodbye.",0,0,1,1
Alright. Could I talk to a leasing agent on my tour today at 3:10 p.m.? .,0,0,1,0
"Wonderful Lydia. My brother wants to have a virtual tour, perhaps On February 13th? I hope to hear back soon.",1,0,0,0
"Good evening. I wish to see it, but can't come in person, possibly Today at 3:00 p.m.? See you soon.",1,1,0,0
"Cool James. I need to schedule a call, maybe Today at 3:30 p.m.? Thanks.",1,0,0,0
"Hey. My wife wants to have a virtual tour, possibly Tomorrow at 1:40 p.m.? Thanks in advance, Bonnie.",1,0,0,0
"Good evening Shirley. I want a video tour, possibly On July 16th? Let me know, Jennifer.",1,1,0,0
"Good evening. I wish a video tour, perhaps Tomorrow at 3:40 p.m.? Thanks.",1,1,0,0
Great Ronald. I would like an appointment  Today at 8:40 a.m.. Thank you.,0,0,1,1
"Alright. On January 22nd I'm traveling, so I can't visit the flat. I hope this works.",1,1,0,0
"Good evening Robert. My father wants to actually see the place, what about On December 19th? Thanks in advance.",0,0,1,1
"To whom it may concern, My brother wants to actually see the unit, maybe Tomorrow? I hope to hear back soon.",0,0,1,1
"Good evening Patrick. Today at 3:40 p.m. I wish to see it on my own. Thanks in advance, Sydney.",1,1,0,1
"Wonderful Christopher. I would like to see the flat in person  Tomorrow at 2:10 p.m.. , Samantha.",0,0,1,1
"To whom it may concern, Can my wife be accompanied on the tour on December 28th? Thanks in advance, Danielle.",0,0,1,0
"Hi Elizabeth. I wish to see the unit in person, what about Tomorrow at 9:10 a.m.? Thank you, Elizabeth.",0,0,1,1
"Wonderful Michael. I desire to schedule a call, perhaps On June 9th? Let me know, Brad.",1,0,0,0
"Cool. I wish a Zoom tour  On October 23rd. , Andrew.",1,0,0,0
"Sounds good Margaret. I want to see the place on my own, possibly Tomorrow at 1:30 p.m.? Thanks.",0,1,0,1
"Good evening Christopher. I wish to see it on my own, possibly Today at 1:10 p.m.? Thank you, Brandi.",1,1,0,1
Good afternoon. Today at 2:10 p.m. I can't be there in person. Goodbye.,1,1,0,0
"Good evening Johnathan. I wish an online tour, possibly Tomorrow at 8:40 a.m.? See you soon.",1,1,0,0
" Renee. I want to see it from my computer, what about Tomorrow at 9:40 a.m.? Thanks.",1,1,0,0
Cool. I would like someone with me on my tour  Tomorrow at 3:40 p.m.. Let me know.,0,0,1,0
Great Eric. My brother wants to have a virtual tour Today at 9:10 a.m.. See you soon.,1,0,0,0
" Matthew. I want a video tour  On December 1st. Let me know, James.",1,1,0,0
"Good evening Virginia. I want a virtual tour, what about Tomorrow? Thanks.",1,1,0,0
"Cool Karl. I wish to see the place, maybe On April 3rd? See you soon, Ronald.",1,1,1,1
 I need someone with me on my tour  Today. .,0,0,1,0
Sounds good Jason. I want a tour without a leasing agent  Tomorrow at 8:30 a.m.. Goodbye.,0,0,0,1
"Wonderful Beth. I would like to see it from my computer, what about Tomorrow at 8:30 a.m.? Thank you, Steven.",1,1,0,0
"Alright Lisa. I desire a tour without a leasing agent, what about Today? Thank you.",0,0,0,1
"Hello Nancy. Can I schedule a 3D tour for today? Let me know, David.",1,1,0,0
"Hello. My brother wants to be on sight, what about On August 17th? .",0,0,1,1
"Good evening. I wish to see it on my own  On February 14th. See you soon, Patricia.",1,1,0,1
"Sounds good Deborah. I desire an online tour, possibly Today at 4:40 p.m.? , Laura.",1,1,0,0
"Good evening Jessica. I would like to see the community on video, what about Today at 10:10 a.m.? Let me know, Brittany.",1,1,0,0
"Cool. I desire an appointment, what about Today at 3:10 p.m.? Let me know.",0,0,1,1
"Cool Tony. I would like to see it from my computer, possibly Today at 1:40 p.m.? I hope this works.",1,1,0,0
"To whom it may concern, I need to see it in person  Tomorrow at 9:20 a.m.. Thanks in advance, Hannah.",0,0,1,1
"To whom it may concern, On August 25th I don't want a leasing agent for my tour. .",0,1,0,1
"Hey. I wish a video tour, what about Tomorrow at 5:30 p.m.? I hope to hear back soon, Michael.",1,1,0,0
"Hi Wendy. I would like to schedule a call, perhaps On June 6th? , Jeffery.",1,0,0,0
"Great Scott. My mother wants to actually see the place, what about On August 11th? Goodbye.",0,0,1,1
Good morning Austin. Today at 5:40 p.m. I don't want a leasing agent for my tour. I hope this works.,0,1,0,1
" James. I wish to see it from my computer  Tomorrow at 10:10 a.m.. Goodbye, Wayne.",1,1,0,0
"To whom it may concern, My client wants to actually see the building, what about Today at 5:10 p.m.? Thank you, Jonathan.",0,0,1,1
"Cool. My mother wants to actually see the apartment, possibly On June 28th? Let me know, Stephen.",0,0,1,1
"Great Ashley. I desire to be accompanied on my tour, what about Today at 5:40 p.m.? Goodbye, Samantha.",0,0,1,0
"Good morning Michael. Can I get a virtual tour today at 1:30 p.m.? I hope to hear back soon, Patrick.",1,1,0,0
"Good evening. I need to see the place, possibly On October 29th? See you soon.",1,1,1,1
"Wonderful. I desire a tour without a leasing agent, maybe Tomorrow at 8:40 a.m.? Thank you, Kirk.",0,0,0,1
Hello Jack. Can my brother be on sight on February 25th? Thank you.,0,0,1,1
". I would like a tour with a leasing agent, what about Tomorrow? Goodbye, Jim.",0,0,1,0
"Cool. I would like a tour with a leasing agent, what about On June 20th? Goodbye, Brenda.",0,0,1,0
"To whom it may concern, I would like to see the building on my own, maybe On September 1st? Thanks, Steve.",0,1,0,1
"Hello Jeff. I would like to see the place in person, maybe Tomorrow at 9:00 a.m.? Let me know.",0,0,1,1
 Can I see the place on June 1st? Thanks.,1,1,1,1
"Sounds good Manuel. I would like to see it, but can't come in person, possibly Tomorrow at 10:00 a.m.? Goodbye, Stephanie.",1,1,0,0
"Great. My wife wants to be accompanied on the tour, what about On March 19th? Thanks in advance, Tanya.",0,0,1,0
". I would like a Zoom tour  Tomorrow at 9:30 a.m.. I hope to hear back soon, Amber.",1,0,0,0
"Wonderful Laura. I want a video tour Tomorrow at 10:00 a.m.. Thanks, Thomas.",1,1,0,0
"Sounds good Justin. I desire a tour with a leasing agent, perhaps Today? Thank you, Deborah.",0,0,1,0
"Sounds good. I desire to see it on my own, perhaps Today? Let me know, Gloria.",1,1,0,1
"Perfect Susan. I desire to see it on my own, perhaps Today? Thank you, Ashley.",1,1,0,1
" Natasha. Can I get someone with me on my tour tomorrow at 10:30 a.m.? See you soon, Daniel.",0,0,1,0
"Hello. I want to see the place on my own, possibly Today at 3:20 p.m.? Thank you, Taylor.",0,1,0,1
"Hey Maria. I desire to see it from my computer  On January 15th. Thank you, Timothy.",1,1,0,0
" Larry. I wish a virtual tour, maybe On July 22nd? Thanks, Lisa.",1,1,0,0
"Cool Mary. On July 23rd I would like to see it, but can't come in person. , William.",1,1,0,0
"Wonderful April. On May 5th I can't be there in person. , Oscar.",1,1,0,0
"Hey. I would like a tour without a leasing agent, perhaps On January 19th? I hope to hear back soon.",0,0,0,1
"Good evening Dean. My wife wants to be accompanied on the tour, possibly On October 20th? , Jesus.",0,0,1,0
Good evening Megan. I need to schedule a call  Today at 9:40 a.m.. Thanks in advance.,1,0,0,0
" Tracy. I want a Zoom tour, perhaps Tomorrow at 8:10 a.m.? Thanks, Taylor.",1,0,0,0
"Alright Jennifer. Could I see the apartment on my own tomorrow at 8:40 a.m.? I hope this works, Kevin.",0,1,0,1
"Hi Jared. I want to see the building in person On May 26th. Thank you, Connie.",0,0,1,1
"To whom it may concern, I would like a tour without a leasing agent, perhaps On July 9th? , Cynthia.",0,0,0,1
"Wonderful Kimberly. I need to see it on my own  On April 28th. I hope to hear back soon, Sergio.",1,1,0,1
"Great Bryan. Tomorrow at 8:10 a.m. I don't want a leasing agent for my tour. Thanks, Amy.",0,1,0,1
"Perfect Teresa. I need a video tour, possibly Today at 4:30 p.m.? Thank you.",1,1,0,0
" Shannon. I need to see the flat in person, possibly On May 26th? See you soon, Lucas.",0,0,1,1
" William. My mother wants to be on sight, possibly Today at 2:00 p.m.? Goodbye, Krista.",0,0,1,1
"Alright. I desire to see it from my computer, maybe Today at 5:30 p.m.? See you soon.",1,1,0,0
"Good morning Denise. I wish someone with me on my tour, what about On September 9th? Let me know, Christopher.",0,0,1,0
"Wonderful. I want to be able to talk to a leasing agent on my tour, perhaps Tomorrow at 10:10 a.m.? Thank you, Charlotte.",0,0,1,0
"Perfect. I would like an appointment, perhaps On July 5th? Thank you, Paul.",0,0,1,1
" Jasmine. I desire a self guided tour, perhaps Today? , Russell.",0,0,0,1
"Good morning Julie. Can my brother see the rental unit on May 4th? See you soon, Elizabeth.",0,0,1,1
"Wonderful. I would like to have a look at the building, what about Tomorrow? Thanks, Austin.",1,1,1,1
"Perfect Jennifer. I would like to see the place Tomorrow at 1:30 p.m.. Thank you, Elizabeth.",1,1,1,1
"Hello. I desire to see it in person, perhaps Tomorrow at 8:30 a.m.? I hope to hear back soon.",0,0,1,1
"Hello Michael. I would like a Zoom tour, possibly Today at 3:30 p.m.? Let me know, Matthew.",1,0,0,0
"Hey. My client wants to see the unit in person, possibly Today at 4:10 p.m.? I hope to hear back soon.",0,0,1,1
"Alright Randy. Could I see the place in person tomorrow at 3:40 p.m.? Let me know, Shannon.",0,0,1,1
" I would like someone with me on my tour, maybe Tomorrow at 5:00 p.m.? See you soon.",0,0,1,0
"Good morning Diana. I want a video tour, what about Today at 3:30 p.m.? I hope this works.",1,1,0,0
" I want an appointment, possibly Tomorrow? Let me know.",0,0,1,1
"Good morning. I desire to schedule a call, maybe On December 16th? , Christopher.",1,0,0,0
"Hi Daniel. I want to see the unit in person, perhaps Tomorrow at 8:40 a.m.? Thanks.",0,0,1,1
Good evening Melissa. I want to see it from my computer  Tomorrow at 3:30 p.m.. Thanks in advance.,1,1,0,0
Sounds good. I desire a tour without a leasing agent On September 24th. Let me know.,0,0,0,1
"Hello Caroline. I want a 3D tour, possibly Today at 1:40 p.m.? I hope this works, Michele.",1,1,0,0
"Hey Kenneth. I want to see the apartment on video, what about Tomorrow? I hope to hear back soon, Daniel.",1,1,0,0
"Sounds good. I need to see it on my own, what about On January 14th? See you soon, Brandon.",1,1,0,1
"Good evening Alexis. I desire to have a look at the place, what about Tomorrow at 9:10 a.m.? Thanks, Kevin.",1,1,1,1
Cool James. Tomorrow I don't want a leasing agent for my tour. .,0,1,0,1
"Cool Sheila. I would like to have a look at the unit, maybe Tomorrow at 9:30 a.m.? I hope this works, Cynthia.",1,1,1,1
"Sounds good. I desire to be able to talk to a leasing agent on my tour, maybe Tomorrow at 8:40 a.m.? I hope this works.",0,0,1,0
"Great Carla. I need to be able to talk to a leasing agent on my tour  Today. Thanks, Dustin.",0,0,1,0
"Alright Nichole. I would like a 3D tour, maybe Today at 3:30 p.m.? I hope this works.",1,1,0,0
"Wonderful Linda. I would like a Zoom tour  Today at 1:10 p.m.. Thank you, Shawn.",1,0,0,0
" I need an appointment, what about Tomorrow at 5:10 p.m.? Thanks in advance.",0,0,1,1
"Wonderful Amanda. I need a video tour, maybe Tomorrow at 8:30 a.m.? I hope this works.",1,1,0,0
"Cool Luis. I would like an online tour, possibly Tomorrow at 2:00 p.m.? See you soon, Raymond.",1,1,0,0
"Sounds good Bradley. My mother wants to actually see the place  Tomorrow at 10:00 a.m.. Thank you, Michelle.",0,0,1,1
"Hey Penny. I wish to see it from my computer, maybe Tomorrow? I hope to hear back soon, Deborah.",1,1,0,0
"Cool Toni. I desire to see the place in person, what about Tomorrow? I hope to hear back soon, Tammy.",0,0,1,1
"Good afternoon Andrew. I wish a tour with a leasing agent, what about Tomorrow at 8:10 a.m.? I hope to hear back soon, Christopher.",0,0,1,0
"Great Matthew. Could I see the building on my own today at 9:00 a.m.? Goodbye, Linda.",0,1,0,1
"Sounds good Richard. Could I get an appointment for tomorrow at 4:30 p.m.? Let me know, Ashley.",0,0,1,1
"Cool Javier. Could I talk to a leasing agent on my tour today at 3:00 p.m.? See you soon, Erica.",0,0,1,0
"Perfect Theresa. I wish to have a look at the apartment, what about On October 4th? Thanks, Edward.",1,1,1,1
". I want a tour with a leasing agent, what about Today at 5:40 p.m.? See you soon.",0,0,1,0
"Alright. On December 28th I would like to see it, but can't come in person. I hope to hear back soon, Christopher.",1,1,0,0
"Hello James. I want to see the place, maybe Today? I hope to hear back soon, Christopher.",1,1,1,1
"Cool Thomas. I need a tour without a leasing agent, perhaps Tomorrow at 2:00 p.m.? Thanks in advance, Warren.",0,0,0,1
 Chelsea. Could I schedule a Zoom tour for tomorrow? .,1,0,0,0
"Good morning Robert. I want a video tour, perhaps Tomorrow? Thanks in advance, Debra.",1,1,0,0
" Cody. I would like to see it in person, maybe Tomorrow at 3:10 p.m.? See you soon, Amy.",0,0,1,1
"Hey Shannon. I want an online tour, possibly Tomorrow at 10:10 a.m.? Thanks in advance.",1,1,0,0
"Alright Michael. I want someone with me on my tour, possibly Today? I hope this works, Connie.",0,0,1,0
" I need an online tour, maybe Today at 9:20 a.m.? I hope this works, Ernest.",1,1,0,0
"Sounds good. I desire a 3D tour, maybe On January 5th? , Tammy.",1,1,0,0
"Wonderful Todd. I wish a tour without a leasing agent, what about On July 8th? Goodbye, Thomas.",0,0,0,1
"Hey Maria. I would like a 3D tour, possibly On July 7th? I hope this works, Maria.",1,1,0,0
"Wonderful Paul. Today at 10:00 a.m. I want to see it on my own. Thanks, Kevin.",1,1,0,1
"To whom it may concern, Could I see it from my computer on May 10th? Thanks in advance, Angel.",1,1,0,0
" Matthew. I wish to see the rental unit in person, possibly Today at 10:00 a.m.? See you soon, Frank.",0,0,1,1
"Great Christine. My brother wants to be accompanied on the tour, possibly Today at 5:30 p.m.? See you soon, Mike.",0,0,1,0
"Sounds good Jordan. Tomorrow at 8:40 a.m. I'm traveling, so I can't visit the place. Thank you, Brandi.",1,1,0,0
Alright Isaac. Today at 1:20 p.m. I don't want a leasing agent for my tour. Thank you.,0,1,0,1
"Hi. I want to see it on my own, what about On July 2nd? I hope to hear back soon.",1,1,0,1
"Cool. My husband wants to be on sight, what about On September 16th? Thanks, Brian.",0,0,1,1
"Cool. I would like a 3D tour, what about Today at 4:00 p.m.? Thanks in advance, Samuel.",1,1,0,0
"Good afternoon Timothy. Tomorrow at 3:40 p.m. I can't be there in person. Thanks in advance, Robert.",1,1,0,0
"Hi Joseph. My husband wants to be accompanied on the tour, possibly Today at 10:10 a.m.? I hope to hear back soon, Charles.",0,0,1,0
Cool Bryan. Can my brother be accompanied on the tour today at 1:40 p.m.? Goodbye.,0,0,1,0
"Hey David. I need a self guided tour  Tomorrow at 3:40 p.m.. I hope this works, Matthew.",0,0,0,1
"Sounds good Marissa. Can I get a self guided tour on March 26th? I hope this works, Elizabeth.",0,0,0,1
"Good afternoon Melissa. I wish to see it, but can't come in person, possibly Today at 1:00 p.m.? Thanks.",1,1,0,0
"Perfect. Tomorrow at 2:00 p.m. I don't want a leasing agent for my tour. I hope to hear back soon, Jacob.",0,1,0,1
 Kristina. I would like to see it on my own  Today at 10:40 a.m.. Let me know.,1,1,0,1
"Sounds good Jamie. I desire a Zoom tour  Tomorrow at 2:40 p.m.. Thank you, Andrew.",1,0,0,0
 I want a video tour On August 1st. Let me know.,1,1,0,0
"Hi Amber. I would like to see it in person, maybe Tomorrow at 8:30 a.m.? I hope this works, Jacob.",0,0,1,1
Wonderful Kelsey. Could I schedule an appointment for today? I hope this works.,0,0,1,1
"Hey Nancy. I want an online tour, possibly Today at 4:00 p.m.? Thanks.",1,1,0,0
"Cool. I need to have a look at the building, possibly On August 22nd? I hope to hear back soon, Erica.",1,1,1,1
Good evening. Can my brother get a virtual tour at 3:40 p.m.? Goodbye.,1,0,0,0
"Good evening Mary. I want a tour without a leasing agent, possibly On October 3rd? Thank you, Elizabeth.",0,0,0,1
"Perfect. Today at 10:10 a.m. I can't be there in person. I hope to hear back soon, Alyssa.",1,1,0,0
"Good afternoon. Could I schedule a video tour on July 25th? Thank you, Jim.",1,1,0,0
"Hi. My sister wants to have a virtual tour, what about Tomorrow? Thanks, Amanda.",1,0,0,0
"Good evening Emily. Today at 2:10 p.m. I don't want a leasing agent for my tour. Thanks, Michael.",0,1,0,1
"Good morning. Tomorrow at 2:00 p.m. I desire to see it on my own. Thanks, Angela.",1,1,0,1
"Good afternoon Stephanie. I want to see the place, maybe Today at 5:20 p.m.? I hope to hear back soon, Justin.",1,1,1,1
"Hello. Could I be accompanied on my tour on September 9th? I hope to hear back soon, Brenda.",0,0,1,0
Good evening Elizabeth. Can I schedule a call for tomorrow at 8:40a.m.? Thanks in advance.,1,0,0,0
"Sounds good Shelby. My sister wants to be on sight, perhaps On March 26th? Thanks.",0,0,1,1
" Victoria. I need to schedule a call  On August 26th. See you soon, David.",1,0,0,0
"Good afternoon Ethan. On January 11th I'm on vacation, so I can't visit the apartment. Let me know.",1,1,0,0
"Hi. I wish to be able to talk to a leasing agent on my tour  Tomorrow at 5:00 p.m.. Let me know, Pamela.",0,0,1,0
"Wonderful. Could I see it in person tomorrow at 4:00 p.m.? Goodbye, Amber.",0,0,1,1
"Good evening. My husband wants to see the rental unit in person, maybe On September 29th? Let me know, Michelle.",0,0,1,1
"Hello Lisa. My brother wants to be accompanied on the tour, what about Tomorrow at 3:10 p.m.? Thanks.",0,0,1,0
"Good afternoon Charles. On January 24th I don't want a leasing agent for my tour. Thank you, Mark.",0,1,0,1
"Hello. I need a 3D tour, what about Today at 9:10 a.m.? Thanks in advance, Emma.",1,1,0,0
"Perfect. Tomorrow at 9:40 a.m. I can't be there in person. Thanks in advance, Amanda.",1,1,0,0
" Robert. I desire a tour without a leasing agent, perhaps Tomorrow at 8:30 a.m.? Thanks, Brandy.",0,0,0,1
" My mother wants to have a virtual tour, maybe On October 4th? Thanks, Joshua.",1,0,0,0
"Good evening. I wish to schedule a call, what about Tomorrow at 4:20 p.m.? , Jessica.",1,0,0,0
